4,CAHU-6-4风机变频器故障指示,0,0,"818,473,939,584",,light
4,CAHU-6-4风机防火阀动作指示,0,0,"969,463,1095,582",,light
4,ICU排风机故障指示,0,0,"1132,454,1258,580",,light
4,CAHU-6-4风机运行指示,0,0,"816,628,946,756",,light
4,CAHU-6-4风机停止指示,0,0,"979,633,1104,754",,light
4,ICU排风机运行指示,1,1,"1130,624,1267,759",,light
4,旋钮,0,0,"888,812,1025,940",,buttom
3,CAHU-6-3风机变频器故障指示,0,0,"858,340,958,442",,light
3,CAHU-6-3风机防火阀动作指示,0,0,"990,342,1083,433",,light
3,ICU排风机故障指示,0,0,"1114,331,1223,435",,light
3,CAHU-6-3风机运行指示,0,0,"853,463,965,566",,light
3,CAHU-6-3风机停止指示,0,0,"986,463,1093,575",,light
3,ICU排风机运行指示,1,1,"1114,468,1232,575",,light
3,旋钮,0,0,"921,605,1021,703",,buttom
2,CAHU-6-2风机变频器故障指示,0,0,"1160,208,1293,349",,light
2,CAHU-6-2风机防火阀动作指示,0,0,"1321,201,1472,352",,light
2,ICU排风机故障指示,0,0,"1497,210,1641,356",,light
2,CAHU-6-2风机运行指示,0,0,"1158,394,1286,522",,light
2,CAHU-6-2风机停止指示,0,0,"1321,391,1465,533",,light
2,ICU排风机运行指示,1,1,"1500,394,1632,526",,light
2,旋钮,0,0,"1244,575,1390,705",,buttom
1,CAHU-6-1风机变频器故障指示,0,0,"802,438,886,517",,light
1,CAHU-6-1风机防火阀动作指示,0,0,"909,433,995,517",,light
1,ICU排风机故障指示,0,0,"1021,428,1109,519",,light
1,CAHU-6-1风机运行指示,0,0,"800,540,888,628",,light
1,CAHU-6-1风机停止指示,0,0,"909,538,1000,633",,light
1,ICU排风机运行指示,1,1,"1014,540,1114,640",,light
1,旋钮,0,0,"858,652,951,745",,buttom
